"id","ts_code","trade_date","open","high","low","close","pre_close","vol","amount"
2161996,"399300.SZ","2018-04-25",3824.5929,3838.6921,3817.0320,3828.7015,3843.4886,78172612.0000,105750449.4000
2161995,"399300.SZ","2018-04-26",3823.3921,3828.7129,3744.8852,3755.4941,3828.7015,87150641.0000,125772304.5000
2161994,"399300.SZ","2018-04-27",3771.0369,3776.9751,3714.6444,3756.8765,3755.4941,89531726.0000,142113627.6000
2161993,"399300.SZ","2018-05-02",3769.9251,3787.3025,3744.5475,3763.6461,3756.8765,83301035.0000,120083483.2000
2161992,"399300.SZ","2018-05-03",3756.1657,3797.5269,3732.3718,3793.0001,3763.6461,93961118.0000,122740168.8000
2161991,"399300.SZ","2018-05-04",3784.3161,3801.5243,3770.9389,3774.5981,3793.0001,71554288.0000,98315254.6000
2161990,"399300.SZ","2018-05-07",3782.5404,3834.5872,3776.0296,3834.1877,3774.5981,87286195.0000,126354800.8000
2161989,"399300.SZ","2018-05-08",3834.6141,3892.0732,3833.7290,3878.6767,3834.1877,94215157.0000,135445862.5000
2161988,"399300.SZ","2018-05-09",3876.1296,3878.9382,3855.7392,3871.6152,3878.6767,66712966.0000,92322896.2000
2161987,"399300.SZ","2018-05-10",3882.8357,3894.4902,3867.3084,3893.0565,3871.6152,70667809.0000,103255140.5000
2161986,"399300.SZ","2018-05-11",3902.1481,3903.3378,3871.9523,3872.8383,3893.0565,73356604.0000,107715457.0000
2161985,"399300.SZ","2018-05-14",3886.8736,3919.2999,3886.8736,3909.2933,3872.8383,81975999.0000,122520047.9000
2161984,"399300.SZ","2018-05-15",3920.1395,3924.3427,3892.9198,3924.0975,3909.2933,76049555.0000,106091905.8000
2161983,"399300.SZ","2018-05-16",3909.8183,3923.3433,3889.1877,3892.8442,3924.0975,71913646.0000,106533930.2000
2161982,"399300.SZ","2018-05-17",3895.4895,3899.5137,3858.8525,3864.0507,3892.8442,59030123.0000,87104164.6000
2161981,"399300.SZ","2018-05-18",3860.1644,3903.0637,3841.8960,3903.0637,3864.0507,72613956.0000,96823851.8000
2161980,"399300.SZ","2018-05-21",3925.5394,3937.4607,3913.6046,3921.2421,3903.0637,92641737.0000,120528726.0000
2161979,"399300.SZ","2018-05-22",3918.8153,3918.8153,3881.1690,3906.2081,3921.2421,75368778.0000,102883344.8000
2161978,"399300.SZ","2018-05-23",3898.2683,3898.2683,3854.5825,3854.5825,3906.2081,83722319.0000,110684503.2000
2161977,"399300.SZ","2018-05-24",3853.2916,3859.1034,3823.9235,3827.2170,3854.5825,68345022.0000,93408219.6000
2161976,"399300.SZ","2018-05-25",3823.7448,3841.1244,3804.1349,3816.4980,3827.2170,70836386.0000,95667543.8000
